fold_id,validation_year,strategy,metric,block_length_sessions,repetitions,valid_repetitions,interval_status,seed,estimate_bootstrap_mean,ci_95_lower,ci_95_upper,primary_ci
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,accuracy,5,2000,2000,DEFINED,20350814,0.501958025,0.4947856023,0.509033588,True
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,5,2000,2000,DEFINED,20350814,-19.9367276627,-30.755,-8.9234897078,True
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,5,2000,2000,DEFINED,20350814,-1.9528962866,-2.9550036072,-0.9011445393,True
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,accuracy,5,2000,2000,DEFINED,20350814,0.5042493288,0.4911215916,0.5171107786,True
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,5,2000,2000,DEFINED,20350814,0.0,0.0,0.0,True
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,5,2000,0,UNDEFINED_ZERO_VARIANCE,20350814,,,,True
OOF_POOLED,2022-2024,ALWAYS_FLAT,accuracy,20,2000,2000,DEFINED,20350829,0.5044135276,0.4920716978,0.5176684882,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,mean_session_net_usd,20,2000,2000,DEFINED,20350829,0.0,0.0,0.0,False
OOF_POOLED,2022-2024,ALWAYS_FLAT,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20350829,,,,False
OOF_POOLED,2022-2024,ALWAYS_LONG,accuracy,20,2000,2000,DEFINED,20350829,0.4955864724,0.4823315118,0.5079283022,False
OOF_POOLED,2022-2024,ALWAYS_LONG,mean_session_net_usd,20,2000,2000,DEFINED,20350829,-27.0871449402,-38.6343051129,-16.5051829349,False
OOF_POOLED,2022-2024,ALWAYS_LONG,annualized_session_sharpe,20,2000,2000,DEFINED,20350829,-2.3275629441,-3.2157591883,-1.4576359308,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,accuracy,20,2000,2000,DEFINED,20350829,0.5015221181,0.4941839331,0.5085969951,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,mean_session_net_usd,20,2000,2000,DEFINED,20350829,-19.650284077,-29.7597141434,-9.8248671979,False
OOF_POOLED,2022-2024,STRATIFIED_RANDOM_ACTION,annualized_session_sharpe,20,2000,2000,DEFINED,20350829,-1.9458255681,-2.8956766661,-1.0003055167,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,accuracy,20,2000,2000,DEFINED,20350829,0.5044135276,0.4920716978,0.5176684882,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,mean_session_net_usd,20,2000,2000,DEFINED,20350829,0.0,0.0,0.0,False
OOF_POOLED,2022-2024,TRAIN_PRIOR_PROBABILITY,annualized_session_sharpe,20,2000,0,UNDEFINED_ZERO_VARIANCE,20350829,,,,False
